model,split,status,reason,n,mae,rmse,pearson,spearman,kendall,pairwise_accuracy,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,pearson_ci_low,pearson_ci_high,spearman_ci_low,spearman_ci_high,pairwise_accuracy_ci_low,pairwise_accuracy_ci_high
gemma_3_270m_it_lora,validation,ok,,111,0.7438344594594596,0.8988462030638987,0.16490810439799003,0.12053481863051292,0.08531737748026388,0.5434535104364326,0.6535177364864866,0.8368306587837838,0.7949139661200015,0.9974391438978641,-0.0464325768745311,0.3490810132176683,-0.07792606082819015,0.30427453761448936,0.4652155519133675,0.6187443972567178
gemma_3_270m_it_lora,test,ok,,111,0.8128096846846848,0.9307058143808371,0.22781427254829895,0.2415895378921096,0.17941632833902735,0.5923530530720944,0.7258157376126128,0.8967827984234235,0.8534205073111559,1.0024203256501236,0.03213329978786187,0.4186441779376165,0.029002356287248416,0.43245248334211406,0.5110744452849219,0.6712199595202634
minilm_hist_gradient_boosting,validation,ok,,111,0.6558375709880626,0.8115549699123448,0.09546039961368491,0.1174795770411975,0.08334007986517486,0.5436432637571158,0.5660535754071883,0.7428236289169842,0.7045693933942564,0.912102508845093,-0.10586909817391446,0.3081350757058622,-0.05314203922413333,0.29741801697232034,0.4765923194904624,0.616269271103682
minilm_hist_gradient_boosting,test,ok,,111,0.7041467179832872,0.8226003826266319,0.13039936486590437,0.1412001301970393,0.09771009216987088,0.5529769830701922,0.6284990898910084,0.7849891107350064,0.7469005384352022,0.8961986378277923,-0.03997927304582148,0.30797687490452397,-0.03987379309816194,0.3276954767638716,0.4839063114099907,0.6274612770993929
minilm_random_forest,validation,ok,,111,0.6520360875431178,0.8047697817298118,0.1368948323920246,0.13892049747089497,0.10839430011691843,0.5559772296015181,0.5655778597993009,0.7365296882791225,0.6957692637975985,0.8979771054774983,-0.057392208622672164,0.34337322741140036,-0.051416404237454506,0.32766876265512807,0.4817596803381494,0.6312730622816363
minilm_random_forest,test,ok,,111,0.7173076877668079,0.831254083975568,0.12350939172225484,0.12492011518565263,0.08895470756683586,0.5499334221038615,0.6417200666337762,0.7959030292237481,0.7579453840287924,0.9026333648056011,-0.0397866141580439,0.27915396942777926,-0.055587661258137445,0.30858844700227545,0.4818006662540953,0.6216699732059073
minilm_ridge,validation,ok,,111,0.6662515561864801,0.8141472959684681,-0.06800467265674778,-0.09027615990721911,-0.06385346411381873,0.4612903225806452,0.5817349582981532,0.7462430896514204,0.7104585681344607,0.9107943281443692,-0.24503124135931822,0.13440589545170223,-0.27211749115610623,0.11421291475800167,0.3924038394479417,0.5395542024855882
minilm_ridge,test,ok,,111,0.7044489211383047,0.8205336892908457,0.0860858393288741,0.03499114337555211,0.029768307650319084,0.5143618033098726,0.6306029788692863,0.7817289454487784,0.7457693789938596,0.8923685588238045,-0.16691951462369697,0.3192429829282013,-0.14985418924306976,0.21335019704582167,0.4428199349015624,0.5858746480848632
modernbert_base_lora,validation,ok,,111,0.6765634324324326,0.8335740064880515,0.004250680224192789,-0.029175964082751457,-0.020008578673267448,0.4872865275142315,0.5828311848198199,0.7662959400450451,0.7250156780403354,0.9300194522429527,-0.1867570035434104,0.1802633779742851,-0.20633758510772904,0.15399358435521776,0.4182292834474082,0.5598887283592625
modernbert_base_lora,test,ok,,111,0.7327701729729731,0.8603942232045386,0.09198979218147077,0.09172008457275103,0.06373919991009498,0.5345253947118128,0.653635322882883,0.813803954346847,0.7771141358907229,0.9383206085479195,-0.129827608718852,0.29029612516948994,-0.10354697149064403,0.28275408436711336,0.45881748086511176,0.6112292293780813
