category_norm,category_title,occurrence_count,first_date,last_date,distinct_member_sets,fill_blank_occurrences,mean_expert_difficulty,mean_user_difficulty_calibrated,mean_failure_rate,mean_average_mistakes,merged_unique_items
ANAGRAMS,ANAGRAMS,5,2025-03-25,2026-05-26,5,0,1.9,2.0668753530313397,0.18081719999999998,1.3130028,20
FISH,FISH,5,2024-06-15,2025-12-24,5,0,2.56,2.8131452235427914,0.33858299999999997,2.0138624,10
HOMOPHONES,HOMOPHONES,4,2024-06-29,2026-05-18,4,0,2.875,2.6217743832766685,0.2981435,1.834119,16
THINGS THAT ARE RED,THINGS THAT ARE RED,4,2024-08-10,2026-01-09,4,0,3.425,2.922162804652832,0.36448424999999995,2.113392,14
STEAL,STEAL,4,2024-11-30,2026-03-11,4,0,2.825,2.278364594042634,0.20007725,1.537073,6
INDICATION,INDICATION,3,2025-02-05,2025-08-18,3,0,2.6999999999999997,2.598834318163328,0.2727986666666667,1.83307,11
TREES,TREES,3,2024-06-30,2025-08-04,3,0,3.0666666666666664,3.0867079372464716,0.407085,2.2601096666666667,11
BLACK-AND-WHITE THINGS,BLACK-AND-WHITE THINGS,3,2025-03-25,2025-09-22,3,0,2.4,1.8896312170202767,0.14261566666666667,1.147275,9
CAPTIVATE,CAPTIVATE,3,2025-03-23,2025-10-14,3,0,2.6,3.626043914407545,0.5217083333333333,2.7660226666666667,9
IMITATION,IMITATION,3,2025-12-10,2026-03-30,3,0,1.7999999999999998,2.6329439089909723,0.281032,1.8640816666666666,9
MAGAZINES,MAGAZINES,3,2024-07-05,2026-03-25,3,0,3.266666666666667,3.139618000980033,0.41370766666666664,2.3143629999999997,9
CRAM,CRAM,3,2024-08-07,2025-09-17,3,0,2.766666666666667,2.294991408031645,0.22783166666666665,1.5284486666666668,8
EAT VORACIOUSLY,EAT VORACIOUSLY,3,2024-11-28,2026-02-23,3,0,2.6,2.496369669364109,0.27858166666666667,1.7093956666666665,8
GLOBAL CURRENCIES,GLOBAL CURRENCIES,3,2024-09-03,2025-09-13,3,0,2.966666666666667,3.157071299321476,0.408464,2.339687666666667,8
OPPORTUNITY,OPPORTUNITY,3,2024-10-18,2026-04-02,3,0,2.6333333333333333,2.1957759125099727,0.19512333333333332,1.447004,8
PUNCH,PUNCH,3,2024-12-08,2026-03-10,3,0,2.8666666666666667,2.757111105451454,0.2972066666666667,1.9907683333333335,8
FISHING GEAR,FISHING GEAR,3,2024-06-20,2026-05-07,3,0,2.1666666666666665,3.321873626370946,0.4600676666666667,2.477698333333333,7
STEER,STEER,3,2024-12-04,2025-11-19,2,0,2.8666666666666667,3.091217350600464,0.4172633333333333,2.255119666666667,6
TOLERATE,TOLERATE,3,2024-08-03,2025-11-30,3,0,2.6999999999999997,2.4290210811639295,0.2701276666666667,1.6403613333333336,5
ANIMAL HOMOPHONES,ANIMAL HOMOPHONES,2,2024-06-24,2024-12-13,2,0,2.25,3.0286011114160747,0.36164399999999997,2.2386955,8
BASKETBALL SHOTS,BASKETBALL SHOTS,2,2024-06-15,2025-11-17,2,0,2.75,2.908502237282829,0.33696550000000003,2.1251935,8
DOOFUS,DOOFUS,2,2024-09-15,2025-11-12,2,0,2.8499999999999996,2.434534501712156,0.235345,1.6814875,8
FLOWERS,FLOWERS,2,2024-08-14,2026-06-15,2,0,2.2,1.7805925012038961,0.119085,1.0453505,8
FOREMOST,FOREMOST,2,2024-09-16,2025-07-28,2,0,2.6,3.021068667310895,0.3596625,2.2320105000000003,8
HETERONYMS,HETERONYMS,2,2025-08-31,2026-03-24,2,0,3.15,3.1686225244957145,0.4186375,2.3428044999999997,8
KINDS OF BEDS,KINDS OF BEDS,2,2024-12-21,2025-10-08,2,0,3.25,3.0090961965846676,0.32474899999999995,2.253149,8
KINDS OF CARDS,KINDS OF CARDS,2,2024-08-27,2025-12-22,2,0,2.7,2.486915256213611,0.238062,1.7390375,8
KINDS OF PARTIES,KINDS OF PARTIES,2,2024-09-19,2026-01-31,2,0,3.05,2.625076264676954,0.30203,1.8340315,8
MOVIES,MOVIES,2,2024-10-10,2026-04-01,2,0,2.7,2.9802623151804863,0.35835300000000003,2.18637,8
MUSIC GENRES,MUSIC GENRES,2,2024-08-19,2025-08-30,2,0,2.75,3.2209998024176483,0.44025600000000004,2.381449,8
