metric,n,pearson,pearson_ci_low,pearson_ci_high,spearman,spearman_ci_low,spearman_ci_high,kendall
mistakenGuessesCount,741,0.44892701524683176,0.39019393164484856,0.5122426634509272,0.4577990409195159,0.3995191994906485,0.5149318335961593,0.3286047053704125
user_difficulty_calibrated,741,0.4488460847525909,0.38962441012891225,0.513058809305176,0.4567841000399276,0.3982552861702505,0.5139453998398612,0.3280421237146602
user_difficulty_raw,741,0.4488460847525909,0.3896244101289124,0.513058809305176,0.4567841000399276,0.3982552861702505,0.5139453998398612,0.3280421237146602
mistaken_guesses_per_completed,741,0.44809541668714226,0.38890731020919334,0.5113392268160705,0.4564225700215056,0.39765995791444003,0.513692985200981,0.32765439851947953
averageMistakes,741,0.4480791264445622,0.38888719747545875,0.511325638108525,0.4564099671194215,0.3976482636800985,0.5136958440534783,0.3276391936098646
win_percentile,741,0.4331146196780559,0.370279369730688,0.49655213224770606,0.45297453791570014,0.3921676981646054,0.5115889171013466,0.32943595559130356
failure_rate,741,0.4438105641539941,0.3792707298875602,0.5086370893122253,0.45014925706871506,0.39033032095395875,0.5096335335020042,0.32376954411286546
illogicalGuesses,741,0.31872526154634395,0.2543558698103679,0.37687689696262905,0.35529959384096743,0.28578197661215315,0.4215363098978502,0.2519947682755995
oneAwayGuessesCount,741,0.316679278316902,0.25321956592588946,0.378586500794301,0.32200488872479166,0.2597890579964332,0.38928745091865236,0.22339433328992064
one_away_guesses_per_completed,741,0.3166811991087758,0.2527198540489066,0.3787851130587821,0.32165905679827234,0.2593879037458255,0.389042093155951,0.22331830874184602
top_mistaken_guess_share,741,0.027411741514268284,-0.04138968337578672,0.09490433849654745,0.03399337387248788,-0.034535799056436944,0.10378471053990292,0.023343337486317665
averageCategories,741,-0.4386520156674335,-0.5047316316072155,-0.37540294590866674,-0.4439860677115735,-0.5047668719937859,-0.3827759972221121,-0.3185086453861005
avgSkill,741,-0.4385037375951316,-0.5008000016345875,-0.37807839785953296,-0.44565809221345254,-0.5034674158092987,-0.38780657962933623,-0.3193297105053066
success_rate,741,-0.4438105641539941,-0.5086370893122255,-0.3792707298875603,-0.45014925706871506,-0.5096335335020042,-0.3903303209539588,-0.32376954411286546
